ENTREZID,SYMBOL,GENENAME,T_20171006MN1_B06P1_Run1,T_20171006MN1_C05P1_Run1,T_20171006MN1_C06P1_Run1,T_20171006MN1_D07P1_Run1,T_20171006MN1_F04P1_Run1,T_20171006MN1_F05P1_Run1,T_20171006MN1_G05P1_Run1,T_20171006MN1_G06P1_Run1,T_20171006MN1_H04P1_Run1,T_20171006MN1_H05P1_Run1
284600,LOC284600,uncharacterized LOC284600,0.719014285,0,0,32.93561681,4.666067978,15.34240427,0,20.78578983,2.94169279,0
100130417,LINC02593,long intergenic non-protein coding RNA 2593,1.43802857,0,3.598860452,85.333189,13.41494544,57.96019392,1.564068944,33.95012339,4.412539185,8.949270893
148398,SAMD11,sterile alpha motif domain containing 11,49.61198568,25.41411645,34.1891743,559.156949,169.1449642,293.2103928,39.10172359,424.0301125,147.0846395,42.95650029
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,1322.986285,1402.541552,775.5544275,1221.611969,1128.605192,1280.238401,1595.350322,1436.990937,1389.949843,898.5067977
339451,KLHL17,kelch like family member 17,116.4803142,106.4216126,89.97151131,176.654672,141.1485563,161.0952449,147.0224807,198.157863,141.2012539,137.8187718
84069,PLEKHN1,pleckstrin homology domain containing N1,134.4556713,160.4266101,5.398290679,80.09343178,43.74438729,74.15495399,93.84413661,104.6218088,164.7347962,42.95650029
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",27.32254284,15.88382278,10.79658136,77.84782155,10.49865295,46.02721282,39.10172359,119.8647214,94.13416928,28.63766686
57801,HES4,hes family bHLH transcription factor 4,138.769757,52.41661518,109.7652438,416.9349673,214.639127,223.3172177,200.2008248,452.4373586,569.2175549,195.0941055
9636,ISG15,ISG15 ubiquitin-like modifier,2618.650027,1423.190521,413.868952,609.308911,533.0982665,1055.216472,5616.571576,764.9170658,8382.353605,1172.354487
375790,AGRN,agrin,6312.226409,9744.725276,3705.026836,4603.500986,4019.234304,4724.60816,10211.80613,5707.085028,7664.580564,5641.620371
401934,RNF223,ring finger protein 223,47.45494282,42.88632151,84.57322063,191.6254069,164.4788962,51.14134758,82.89565401,313.1725668,22.06269593,291.7462311
54991,C1orf159,chromosome 1 open reading frame 159,259.5641569,250.9643999,226.7282085,345.0754397,361.0370098,269.3444306,276.840203,348.5084095,289.7567398,325.7534605
406984,MIR200B,microRNA 200b,19.4133857,0,21.59316271,29.19293308,19.24753041,2.557067379,4.692206831,54.73591322,10.29592477,48.32606282
406983,MIR200A,microRNA 200a,15.09929999,11.11867595,14.39544181,26.1987861,16.33123792,4.261778965,7.820344718,25.63580746,13.23761756,32.21737521
554210,MIR429,microRNA 429,17.97535713,23.82573417,26.99145339,31.43854332,27.99640787,2.557067379,14.07662049,31.17868475,4.412539185,30.42752104
100506376,TTLL10-AS1,TTLL10 antisense RNA 1,23.72747141,12.70705822,43.18632543,94.31562995,18.66427191,4.261778965,32.84544781,113.6289844,1.470846395,32.21737521
254173,TTLL10,tubulin tyrosine ligase like 10,15.81831427,1.588382278,26.99145339,61.38001314,12.83168694,16.19476007,25.0251031,81.06458034,14.70846395,46.53620864
8784,TNFRSF18,TNF receptor superfamily member 18,276.1014855,160.4266101,57.58176724,461.8471721,48.99371377,343.4993846,211.1493074,232.1079864,986.9379311,82.33329222
7293,TNFRSF4,TNF receptor superfamily member 4,232.2416141,192.1942556,7.197720905,208.841752,29.16292486,392.0836648,272.1479962,305.5511105,647.1724138,46.53620864
51150,SDF4,stromal cell derived factor 4,6141.101009,6377.354846,6119.862199,6305.673545,6179.04052,5644.300061,7471.557343,6108.250771,8377.941066,8047.184387
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",261.7211998,211.254843,152.9515692,297.9176248,292.7957656,465.3862629,384.7609601,435.8087268,461.845768,313.2244813
388581,C1QTNF12,C1q and TNF related 12,163.2162427,211.254843,340.0923128,182.6429659,297.4618336,151.7193311,247.1228931,243.8866007,150.0263323,588.8620248
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,998.7108421,1248.468471,852.9299272,995.5538717,1055.69788,995.5515662,1127.693708,880.6246291,1253.161129,882.39811
6339,SCNN1D,sodium channel epithelial 1 delta subunit,123.670457,44.47470379,19.79373249,98.05831368,25.66337388,42.61778965,54.74241302,53.3501939,79.42570533,39.37679193
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",695.2868137,601.9968834,766.5572764,1248.559292,856.8067324,1001.518057,741.3686792,1129.361247,1004.588088,1002.31834
126789,PUSL1,pseudouridine synthase like 1,316.3662855,239.845724,152.9515692,259.7422507,268.2989087,401.4595785,364.4280638,335.3440759,317.7028213,232.6810432
54973,INTS11,integrator complex subunit 11,1663.799056,1802.813886,1626.684924,1948.441149,1973.746755,1704.711586,2105.236798,1906.056927,1800.315988,2106.658368
80772,CPTP,ceramide-1-phosphate transfer protein,1023.876342,1253.233617,1556.507146,1154.992199,1704.281329,1114.881377,1478.045152,1497.269727,1372.299687,2471.788621
83756,TAS1R3,taste 1 receptor member 3,321.3993855,177.8988151,104.3669531,256.7481038,75.82360464,488.3998694,75.07530929,207.8578983,1094.309718,87.70285475
1855,DVL1,dishevelled segment polarity protein 1,1731.386399,2295.212392,1401.756146,1980.628229,2002.909679,1825.746108,2277.284382,2593.373711,2437.192477,2144.245306
54587,MXRA8,matrix remodeling associated 8,567.302271,250.9643999,172.7453017,916.2089767,380.2845402,1312.627921,176.7397906,733.0455213,342.70721,288.1665228
100506404,NA,NA,0,6.353529112,3.598860452,0.748536746,1.749775492,0.852355793,1.564068944,3.464298305,1.470846395,1.789854179
54998,AURKAIP1,aurora kinase A interacting protein 1,1839.957556,1979.124318,1936.186923,1858.616739,2338.866574,1858.135629,2241.310796,2321.772724,2201.857053,2593.498705
81669,CCNL2,cyclin L2,1109.439042,738.5977593,1581.699169,1553.213747,1501.307372,1273.419555,954.0820556,1267.24032,942.8125392,1958.100471
148413,MRPL20-AS1,MRPL20 antisense RNA 1,432.8465997,486.0449771,482.2473006,418.4320408,545.9299534,505.4469852,331.582616,486.387482,461.845768,635.3982334
55052,MRPL20,mitochondrial ribosomal protein L20,1439.466599,1269.11744,995.0849151,1066.664863,1358.992299,1148.975609,1560.940806,1263.083162,1438.487774,1045.27484
441869,ANKRD65,ankyrin repeat domain 65,71.90142851,22.23735189,14.39544181,35.92976379,27.99640787,230.9884199,76.63937823,63.05022915,207.3893417,14.31883343
643965,TMEM88B,transmembrane protein 88B,0,0,0,0,0,0,0,0,0,0
100288271,NA,NA,24.44648569,27.00249873,10.79658136,11.22805118,8.165618961,14.49004848,3.128137887,11.08575458,17.65015674,7.159416714
64856,VWA1,von Willebrand factor A domain containing 1,2607.864812,4703.199925,770.1561368,741.7999149,899.3846027,2753.961567,3089.036164,1087.789668,3056.418809,1446.202176
219293,ATAD3C,"ATPase family, AAA domain containing 3C",141.6458142,125.4822,53.98290679,145.9646654,100.3204615,121.8868784,104.7926192,177.3720732,245.631348,87.70285475
83858,ATAD3B,"ATPase family, AAA domain containing 3B",903.0819421,683.0043796,399.4735102,922.1972706,811.3125696,824.2280518,875.8786084,1360.776374,828.0865204,665.8257544
55210,ATAD3A,"ATPase family, AAA domain containing 3A",1030.347471,802.1330504,338.2928825,820.3962732,858.5565079,871.9599762,1180.872052,1181.325722,845.7366771,642.5576501
339453,TMEM240,transmembrane protein 240,0,0,3.598860452,10.47951444,7.582360464,24.718318,0,13.16433356,19.12100314,0
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",1696.873713,1815.520944,1912.79433,1541.237159,1787.687294,1605.838314,1889.395284,1670.484643,1887.095925,1873.977325
643988,FNDC10,fibronectin type III domain containing 10,131.5796142,104.8332304,32.38974407,53.89464569,117.2349579,66.48375185,148.5865496,88.68603661,69.12978057,76.96372968
142678,MIB2,mindbomb E3 ubiquitin protein ligase 2,805.2959994,735.4209947,1106.649589,1098.103406,940.2126975,651.1998258,783.5985407,1041.36807,632.4639499,1533.905031
8510,MMP23B,matrix metallopeptidase 23B,17.97535713,4.765146834,21.59316271,37.42683728,21.5805644,43.47014544,10.9484826,69.97882576,5.88338558,28.63766686
984,CDK11B,cyclin dependent kinase 11B,1361.813056,1242.114941,1122.844461,1146.009758,1357.825782,1067.149453,1115.181157,1339.297725,1166.381191,1573.281823
728661,SLC35E2B,solute carrier family 35 member E2B,2162.79497,2333.333566,2441.826817,2125.095821,2515.01064,2523.825503,1479.609221,2292.672618,2366.59185,2785.013102
8511,MMP23A,matrix metallopeptidase 23A (pseudogene),15.81831427,7.94191139,14.39544181,42.6665945,8.165618961,36.6512991,12.51255155,39.49300068,26.47523511,23.26810432
728642,CDK11A,cyclin dependent kinase 11A,1326.581356,1618.561541,1338.776088,1261.284416,1476.227256,1092.720127,1035.413641,1376.712146,1103.134796,1789.854179
100506482,NA,NA,370.2923569,478.1030657,1340.575519,720.8408861,390.7831931,424.4731849,480.1691657,357.5155851,432.4288401,701.622838
9906,SLC35E2A,solute carrier family 35 member E2A,327.1514997,325.618367,543.4279283,460.3500986,385.5338667,322.1904897,212.7133763,367.90848,388.3034483,642.5576501
65220,NADK,NAD kinase,2899.784612,3629.453505,4230.460462,2613.141779,4116.638473,2715.605556,4083.784012,2885.067628,2978.46395,4032.541464
2782,GNB1,G protein subunit beta 1,8127.737479,9997.278058,9549.576211,7397.788657,8809.536342,8342.858501,10721.69261,7689.356518,11137.2489,8605.618891
163688,CALML6,calmodulin like 6,0,0,7.197720905,11.22805118,8.165618961,9.375913722,0,27.71438644,0,10.73912507
339456,TMEM52,transmembrane protein 52,33.7936714,12.70705822,28.79088362,87.57879924,47.24393827,59.66490551,92.28006767,78.29314169,33.82946709,57.27533372
85452,CFAP74,cilia and flagella associated protein 74,0,0,0,0,2.916292486,0,0,0,2.94169279,0
2563,GABRD,gamma-aminobutyric acid type A receptor delta subunit,7.190142851,12.70705822,0,5.988293965,1.166516994,25.57067379,0,9.007175593,26.47523511,10.73912507
5590,PRKCZ,protein kinase C zeta,660.0551138,976.855101,1193.02224,862.314331,1237.674531,674.2134322,828.9565401,1048.989527,513.3253919,1481.99926
100506504,PRKCZ-AS1,PRKCZ antisense RNA 1,24.44648569,20.64896961,53.98290679,41.16952101,85.73899909,28.98009696,21.89696521,47.80731661,30.8877743,123.4999383
199990,FAAP20,FA core complex associated protein 20,199.166957,96.89131896,55.78233701,182.6429659,110.8191145,153.4240427,173.6116527,155.2005641,188.2683386,139.6086259
100128003,NA,NA,153.1500427,114.363524,89.97151131,203.6019948,113.735407,153.4240427,76.63937823,199.5435824,177.9724138,159.2970219
6497,SKI,SKI proto-oncogene,1416.458142,1156.342298,1108.449019,2164.768268,1207.928348,2610.765794,1962.906524,2272.579688,2771.074608,1573.281823
79906,MORN1,MORN repeat containing 1,120.0753856,79.4191139,149.3527088,148.9588124,162.7291207,64.77904026,120.4333087,155.2005641,85.30909091,204.0433764
100129534,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene,48.1739571,17.47220506,80.97436018,95.81270344,79.32315562,17.04711586,48.48613725,70.67168542,27.94608151,107.3912507
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,3370.738969,4738.144335,5097.785831,3159.573603,4061.228916,2967.050515,4124.449804,3268.219021,4193.383072,4290.280466
5192,PEX10,peroxisomal biogenesis factor 10,286.1676855,276.3785164,260.9173828,303.9059187,265.9658747,268.4920748,297.1730993,367.90848,245.631348,273.8476893
9651,PLCH2,phospholipase C eta 2,81.96762851,82.59587846,217.7310574,372.7712993,106.1530465,122.7392342,96.9722745,230.0294075,101.4884013,372.2896691
55229,PANK4,pantothenate kinase 4,581.6825567,584.5246783,658.5914628,735.811621,659.0821019,679.327567,478.6050967,783.6242766,676.5893417,792.9054011
388585,HES5,hes family bHLH transcription factor 5,10.06619999,15.88382278,70.17777882,176.654672,152.2304678,121.8868784,0,209.2436176,17.65015674,193.3042513
115110,TNFRSF14-AS1,TNFRSF14 antisense RNA 1,601.0959424,576.5827669,1058.064973,738.0572312,779.8166108,536.9841496,605.2946812,475.3017275,561.8633229,1263.63705
100133445,NA,NA,161.0591999,154.073081,251.9202317,218.5727297,168.5617057,105.6921183,139.202136,132.3361953,147.0846395,325.7534605
8764,TNFRSF14,TNF receptor superfamily member 14,2964.495898,2320.626508,2529.998898,2559.247133,2180.220263,2262.152274,2338.283071,1961.4857,2816.670846,2799.331935
100506589,NA,NA,78.37255708,71.47720251,75.5760695,111.5319751,102.6534955,45.17485703,129.8177223,137.1862129,42.65454546,66.22460461
127281,PRXL2B,peroxiredoxin like 2B,1642.947642,1348.536554,1630.283785,1685.704751,2190.135657,1275.976622,2061.442868,2064.72179,1417.895925,1886.506304
79258,MMEL1,membrane metalloendopeptidase like 1,35.95071426,30.17926328,39.58746498,90.57294622,53.07652325,23.01360641,43.79393042,60.97165017,29.4169279,91.28256311
100287898,TTC34,tetratricopeptide repeat domain 34,0.719014285,0,0,5.23975722,8.165618961,3.409423172,1.564068944,6.235736949,1.470846395,0
140625,ACTRT2,actin related protein T2,0,0,0,0,0,0,0,0,0,0
440556,LINC00982,long intergenic non-protein coding RNA 982,4.314085711,3.176764556,0,1.497073491,0,39.20836648,0,7.621456271,0,3.579708357
63976,PRDM16,PR/SET domain 16,76.21551423,15.88382278,14.39544181,54.64318243,31.49595885,86.94029088,29.71730993,94.2289139,16.17931035,41.16664611
100422968,MIR4251,microRNA 4251,0,0,0,0,0,0,0,0,0,0
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16,2305.159798,3688.22365,3832.786382,2852.673538,3721.189212,1660.389085,3278.288506,3356.905058,1713.53605,5553.917516
1953,MEGF6,multiple EGF like domains 6,220.0183713,63.53529112,147.5532785,264.2334712,180.2268756,447.4867913,239.3025484,404.630042,200.0351097,332.9128772
693135,MIR551A,microRNA 551a,0,0,0,0.748536746,0,0,0,0,0,0
127262,TPRG1L,tumor protein p63 regulated 1 like,1646.542713,2212.616513,4174.678125,2152.043144,3029.444635,1815.517839,2732.428444,2456.880358,1672.352351,3511.693898
49856,WRAP73,"WD repeat containing, antisense to TP73",458.0120996,465.3960075,527.2330563,443.8822902,571.0100688,519.9370337,483.2973036,400.4728841,426.5454546,536.9562536
7161,TP73,tumor protein p73,110.0091856,95.30293668,3.598860452,100.3039239,23.91359839,155.1287543,45.35799936,45.72873763,185.3266458,19.68839596
100506635,NA,NA,0,0,0,2.994146983,0,0,0,1.385719322,1.470846395,0
57212,TP73-AS1,TP73 antisense RNA 1,219.299357,147.7195519,82.77379041,313.6368964,145.2313658,496.0710715,151.7146875,323.5654617,307.4068966,150.347751
148870,CCDC27,coiled-coil domain containing 27,0,0,0,0.748536746,0,0,0,1.385719322,0,0
388588,SMIM1,small integral membrane protein 1 (Vel blood group),12.94225713,4.765146834,7.197720905,12.72512468,3.499550983,26.42302958,3.128137887,13.16433356,51.47962383,0
57470,LRRC47,leucine rich repeat containing 47,1332.33347,1423.190521,1390.959565,1278.500762,1283.751952,1281.943113,1359.175912,1399.576515,1326.703448,1587.600656
9731,CEP104,centrosomal protein 104,1176.30737,1373.950671,1480.931076,1196.16172,1255.755545,1281.943113,1291.920947,1064.232439,1357.591223,1340.60078
1677,DFFB,DNA fragmentation factor subunit beta,294.7958569,303.3810151,226.7282085,230.5493177,293.3790241,318.7810666,253.3791689,311.0939878,307.4068966,316.8041896
339448,C1orf174,chromosome 1 open reading frame 174,758.5600708,665.5321745,809.7436018,601.0750068,808.9795356,591.5349203,810.1877128,604.8664841,660.4100314,742.7894841
100133612,LINC01134,long intergenic non-protein coding RNA 1134,25.16549998,17.47220506,93.57037176,21.70756562,15.16472093,20.45653903,29.71730993,20.09293017,33.82946709,96.65212564
728716,LINC01346,long intergenic non-protein coding RNA 1346,0,0,0,0,0,0,0,2.078578983,0,0
284661,LINC01777,long intergenic non-protein coding RNA 1777,0,0,0,0,0,0,0,0,0,0
55966,AJAP1,adherens junctions associated protein 1,10.06619999,9.530293668,1.799430226,16.4678084,6.999101967,46.02721282,43.79393042,29.79296542,22.06269593,3.579708357
261734,NPHP4,nephrocystin 4,400.4909568,360.5627771,376.0809173,366.0344686,398.9488121,352.0229425,406.6579253,289.6153383,429.4871473,408.0867527
8514,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,478.1444996,466.9843897,134.957267,360.7947114,99.15394453,1030.498154,494.2457862,336.7297953,1016.354859,263.1085643
26038,CHD5,chromodomain helicase DNA binding protein 5,10.06619999,9.530293668,8.997151131,11.97658793,8.165618961,11.08062531,20.33289627,5.542877288,0,3.579708357
6146,RPL22,ribosomal protein L22,3952.421525,3079.873237,3562.871848,4287.618479,4144.051623,3511.705867,2926.372993,4648.395466,2556.331035,3323.75921
388591,RNF207,ring finger protein 207,194.133857,58.77014429,314.9002896,353.3093439,379.7012817,176.4376491,157.9709633,286.8438997,123.5510972,515.4780034
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,3640.369326,3019.514711,4318.632543,2718.68546,4225.124554,3495.511107,3825.712636,3055.511105,2882.858934,3667.411212
148645,LINC00337,long intergenic non-protein coding RNA 337,2.876057141,0,0,2.994146983,2.916292486,5.114134758,3.128137887,7.621456271,5.88338558,10.73912507
390992,HES3,hes family bHLH transcription factor 3,0,0,0,0,0,1.704711586,0,0.692859661,0,0
387509,GPR153,G protein-coupled receptor 153,739.8656994,493.9868885,298.7054176,449.1220474,313.7930715,467.0909745,531.7834408,640.2023268,378.0075235,717.7315256
11332,ACOT7,acyl-CoA thioesterase 7,1294.225713,854.5496656,865.5259388,854.0804268,1045.782486,1045.840558,1307.561637,992.1750346,1001.646395,698.0431297
100130071,NA,NA,4.314085711,3.176764556,5.398290679,7.485367457,1.749775492,0,6.256275774,1.385719322,2.94169279,0
54626,HES2,hes family bHLH transcription factor 2,507.6240853,517.8126226,968.0934617,419.9291143,580.3422047,164.504668,344.0951676,697.016819,200.0351097,1070.332799
83715,ESPN,espin,341.5317854,625.8226176,977.0906128,510.5020605,699.9101967,326.4522687,850.8535053,378.9942346,229.4520376,1301.223988
100422975,MIR4252,microRNA 4252,0,0,0,3.742683728,0,0,0,4.850017627,0,5.369562536
8718,TNFRSF25,TNF receptor superfamily member 25,487.4916853,270.0249873,966.2940315,450.6191209,794.3980732,627.3338636,605.2946812,861.9174183,398.5993731,955.7821314
57449,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,508.3430996,497.163653,588.413684,590.5954923,538.3475929,461.9768398,394.1453738,548.7448515,330.9404389,846.6010265
79707,NOL9,nucleolar protein 9,1258.994013,1024.506569,1157.033635,1282.243445,1307.665551,1239.325323,1406.09798,1297.726145,1129.610031,1161.615362
80835,TAS1R1,taste 1 receptor member 1,8.628171422,9.530293668,3.598860452,19.46195539,4.666067978,16.19476007,0,20.09293017,23.53354232,37.58693775
3104,ZBTB48,zinc finger and BTB domain containing 48,506.1860567,368.5046885,822.3396134,821.8933467,740.155033,445.7820797,436.3752353,588.9307119,630.9931035,1211.731279
9903,KLHL21,kelch like family member 21,1110.877071,1186.521562,584.8148235,1449.915676,536.5978174,1848.759715,899.3396425,2145.09351,2294.520376,909.2459227
148479,PHF13,PHD finger protein 13,591.7487567,478.1030657,359.8860452,530.7125527,411.1972405,639.2668447,409.7860632,427.4944108,320.6445141,415.2461694
90326,THAP3,THAP domain containing 3,87.0007285,100.0680835,97.16923222,81.59050528,82.23944811,104.8397625,95.40820556,83.83601898,91.19247649,78.75358386
55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,1349.589813,1296.119939,2180.909434,1717.143295,2237.962854,1211.197582,1897.215629,1867.256786,1170.79373,2026.11493
100505887,LINC01672,long intergenic non-protein coding RNA 1672,0,0,0,0,0,0,0,0,0,0
23261,CAMTA1,calmodulin binding transcription activator 1,329.3085426,276.3785164,219.5304876,338.338609,299.2116091,329.8616919,325.3263403,304.1653912,276.5191223,307.8549187
100505935,NA,NA,156.0260999,192.1942556,284.3099757,230.5493177,232.7201404,275.3109211,200.2008248,198.157863,186.7974922,211.2027931
100505910,NA,NA,0,0,0,0,0,8.523557929,0,0,0,0
9341,VAMP3,vesicle associated membrane protein 3,2682.642298,3994.781429,3508.888941,2386.335145,2463.683892,3019.896574,3921.120841,2558.730728,3294.695925,2958.628957
8863,PER3,period circadian regulator 3,225.7704855,287.4971923,575.8176724,511.2505973,404.1981386,944.4102186,340.9670297,893.7889627,179.4432602,1245.738508
10911,UTS2,urotensin 2,4.314085711,3.176764556,12.59601158,6.736830711,99.73720302,2.557067379,17.20475838,14.55005288,54.42131662,25.0579585
3604,TNFRSF9,TNF receptor superfamily member 9,181.9106141,239.845724,41.3868952,291.1807941,24.49685688,707.4553081,284.6605477,181.5292312,673.6476489,53.69562536
11315,PARK7,Parkinsonism associated deglycase,2381.375312,2963.921331,1601.492901,2093.657278,2229.797235,2325.226603,2328.898657,2212.993757,2993.172414,1592.970219
54206,ERRFI1,ERBB receptor feedback inhibitor 1,3434.012226,9886.091299,2002.765842,3887.899857,2071.150924,2317.555401,3425.310986,8194.451211,2822.554232,1650.245553
50651,SLC45A1,solute carrier family 45 member 1,17.25634284,0,0,23.20463912,15.74797942,22.16125062,0,40.18586034,8.82507837,5.369562536
473,RERE,arginine-glutamic acid dipeptide repeats,3172.291026,2018.833875,6459.954512,3584.742475,4324.861757,2674.692478,2763.709823,3681.163379,2322.466458,5911.888352
100505990,NA,NA,0,0,0,0,0,0,0,1.385719322,0,1.789854179
2023,ENO1,enolase 1,22589.99081,32099.61746,10704.81042,11811.90985,14586.1285,15639.87644,22009.57817,13751.87855,24411.63762,9679.531398
100505975,ENO1-AS1,ENO1 antisense RNA 1,9.347185707,11.11867595,10.79658136,15.71927166,7.582360464,7.671202136,12.51255155,9.700035254,22.06269593,12.52897925
765,CA6,carbonic anhydrase 6,0,1.588382278,0,0,0,0,0,2.771438644,0,0
155184,SLC2A7,solute carrier family 2 member 7,0,0,0,0.748536746,0,4.261778965,0,0,0,0
6518,SLC2A5,solute carrier family 2 member 5,393.300814,176.3104329,122.3612554,125.7541733,188.3924946,381.8553952,46.92206831,93.53605424,560.3924765,136.0289176
100302218,MIR1285-1,microRNA 1285-1,0,0,0,0,0,1.704711586,0,0,0,0
80045,GPR157,G protein-coupled receptor 157,95.62889992,138.1892582,138.5561274,86.08172575,91.57158406,129.5580805,126.6895844,123.3290197,267.6940439,159.2970219
407040,MIR34A,microRNA 34a,2.157042855,0,0,0,0,3.409423172,0,0.692859661,0,3.579708357
727721,NA,NA,17.97535713,6.353529112,1.799430226,8.233904202,7.582360464,22.16125062,10.9484826,5.542877288,16.17931035,0
9563,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,6059.852395,5097.11873,4554.357903,4238.215054,3633.117179,4592.493012,3656.79319,3464.991165,3597.690282,5081.396013
80176,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,990.0826706,1609.031248,1275.79603,1164.723176,1356.076006,903.4971405,1368.560326,1280.404654,1000.175549,925.3546103
100506022,LINC02606,long intergenic non-protein coding RNA 2606,2.157042855,3.176764556,0,1.497073491,0,5.114134758,0,4.850017627,4.412539185,7.159416714
84275,SLC25A33,solute carrier family 25 member 33,104.2570713,139.7776405,188.9401738,218.5727297,174.3942907,148.309908,90.71599873,259.8223729,201.5059561,125.2897925
199953,TMEM201,transmembrane protein 201,340.8127712,195.3710202,134.957267,404.9583794,344.1225134,381.0030394,353.4795812,558.4448868,266.2231975,309.6447729
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",1775.24627,1496.256106,532.631347,831.6243244,367.4528532,1870.920966,1679.810045,619.4165369,2168.027586,877.0285475
644997,PIK3CD-AS1,PIK3CD antisense RNA 1,7.190142851,0,0,0,0,7.671202136,25.0251031,2.771438644,2.94169279,0
22883,CLSTN1,calsyntenin 1,11062.75379,15169.05076,21846.88238,9974.252136,15125.05935,7730.014686,14918.08958,10408.83069,9909.092163,24970.25565
645010,NA,NA,2.876057141,0,0,1.497073491,0,3.409423172,0,0,0,0
56998,CTNNBIP1,catenin beta interacting protein 1,849.874885,837.0774605,568.6199515,686.4081958,719.1577271,787.5767527,950.9539177,783.6242766,717.7730408,574.5431913
84328,LZIC,leucine zipper and CTNNBIP1 domain containing,1027.471413,1156.342298,1363.968111,898.9926315,1202.679021,767.1202136,1144.898467,969.3106658,626.5805643,1022.006736
